# ------------------------------------------------------
# Common
# ------------------------------------------------------
WareName;ウェア名
Tier;階級
Price;価格
UnitPrice;単価
ModuleName;モジュール名
ModuleCount;モジュール数
Select;選択
Close;閉じる
SelectAll;全選択
Save;保存
OwnerFaction;所有派閥
Turrets;タレット
Shields;シールド
SearchByEnteringText;テキストを入力して検索
Confirmation;確認
Warning;警告
Error;エラー


# ------------------------------------------------------
# DB
# ------------------------------------------------------
OldFormatMessage;現在のDBのフォーマットが旧形式です。\r\nゲームファイルよりDBを再度抽出して下さい。
DBUpdateRequestMessage;本アプリケーションの実行にはDBの更新が必要です。\r\n本アプリケーションを再度実行し、DBの更新を行ってください。
DBExtractionRequestMessage;DBが存在しません。\r\nゲームファイルよりDBを抽出する必要があります。\r\nデータ抽出画面が立ち上がるまでしばらくお待ち下さい。
DBMakeRequestMessage;本アプリケーションの実行にはDBの作成が必要です。\r\n本アプリケーションを再度実行し、DBの更新を行ってください。
DBOpenFailMessage;DBのオープンに失敗しました。\r\nゲームファイルよりDBを抽出する事で起動可能になるかもしれません。\r\nDBを更新しますか？


# ------------------------------------------------------
# Main window
# ------------------------------------------------------
MainWindowTitle;X4: ステーション計算機
FaildToLoadFileMessage;ファイルの読み込みに失敗しました。\r\n\r\n■理由：\r\n{0}
FaildToLoadFileMessageTitle;読み込み失敗
MainWindowClosingConfirmMessage;未保存の項目があります。保存しますか？
PlanClosingConfirmMessage;計画{0}の変更内容を保存しますか？
SaveDataWriteFailureMessage;保存に失敗しました。\r\n■理由：\r\n{0}\r\n\r\n■スタックトレース：\r\n{1}
ImportFailureMessage;インポートに失敗しました。\r\n■理由：\r\n{0}
UnexpectedErrorMessage;予期しないエラーが発生しました。\r\n■エラー内容：\r\n{0}\r\n\r\n■スタックトレース：\r\n{1}
LoadingFile;ファイルを読込中

# ------------------------------------------------------
# Main window menu
# ------------------------------------------------------

# File(F) ----------------------------------------------
FileMenu;ファイル(_F)
New;新規作成
OverwriteSave;上書き保存
SaveAs;名前を付けて保存
Open;開く
Import;インポート
ExistingPlan;既存の計画
Export;エクスポート
UpdateDB;DB更新
DBUpdateConfirmationMessage;DB更新画面を表示しますか？\r\n※ 画面が起動するまでしばらくお待ち下さい。
