# ------------------------------------------------------
# Common
# ------------------------------------------------------
Common_WareName;ウェア名
Common_Tier;階級
Common_Price;価格
Common_UnitPrice;単価
Common_ModuleName;モジュール名
Common_ModuleCount;モジュール数
Common_Select;選択
Common_Close;閉じる
Common_SelectAll;全選択
Common_OwnerFaction;所有派閥
Common_Turrets;タレット
Common_Shields;シールド
Common_SearchByEnteringText;テキストを入力して検索
Common_Search;検索
Common_MessageBoxTitle_Confirmation;確認
Common_MessageBoxTitle_Warning;警告
Common_MessageBoxTitle_Error;エラー
Common_Cancel;キャンセル
Common_NotEquippedToolTipText;何も装備していません
Common_Expander_Expansion;展開
Common_Expander_Collapse;折りたたむ
Common_NoBuy;購入しない
Common_NoSell;販売しない
Common_Buy;購入する
Common_Sell;販売する
Common_Production;生産量
Common_ProductName;製品名
Common_PresetName;プリセット名


# ------------------------------------------------------
# Systen
# ------------------------------------------------------
System_InvalidConfigFile;設定ファイルの内容に問題があります。お手数ですが、本ソフトを再ダウンロード下さい。


# ------------------------------------------------------
# DB
# ------------------------------------------------------
DB_OldFormatMessage;現在のDBのフォーマットが旧形式です。\r\nゲームファイルよりDBを再度抽出して下さい。
DB_UpdateRequestMessage;本アプリケーションの実行にはDBの更新が必要です。\r\n本アプリケーションを再度実行し、DBの更新を行ってください。
DB_ExtractionRequestMessage;DBが存在しません。\r\nゲームファイルよりDBを抽出する必要があります。
DB_MakeRequestMessage;本アプリケーションの実行にはDBの作成が必要です。\r\n本アプリケーションを再度実行し、DBの更新を行ってください。
DB_OpenFailMessage;DBのオープンに失敗しました。\r\nゲームファイルよりDBを抽出する事で起動可能になるかもしれません。\r\nDBを更新しますか？


# ------------------------------------------------------
# Main window
# ------------------------------------------------------
MainWindow_Title;X4: ステーション計算機
MainWindow_FaildToLoadFileMessage;ファイルの読み込みに失敗しました。\r\n\r\n■理由：\r\n{0}
MainWindow_FaildToLoadFileMessageTitle;読み込み失敗
MainWindow_ClosingConfirmMessage;未保存の項目があります。保存しますか？
MainWindow_ClosingConfirmMessage_Save;保存して終了
MainWindow_ClosingConfirmMessage_DontSave;保存せずに終了
MainWindow_ClosingConfirmMessage_DontSave_Description;未保存の項目は破棄されます。
MainWindow_ClosingConfirmMessage_Cancel;キャンセル
MainWindow_ClosingConfirmMessage_Cancel_Description;終了せずに計算機に戻ります。
